"id","name","type","code","default_account_id","l10n_latam_use_documents","inbound_payment_method_line_ids/payment_method_id","inbound_payment_method_line_ids/payment_account_id","outbound_payment_method_line_ids/payment_method_id","outbound_payment_method_line_ids/payment_account_id"
"journal_fcam","Factura cambiaria","sale","FELC","cta_gt_410201","True","","","",""
"journal_fact","Factura","sale","FEL","cta_gt_410201","True","","","",""
"journal_ncre","Nota de Credito FEL","sale","NC","cta_gt_410201","True","","","",""
"journal_nabn","Nota de Abono FEL","sale","NA","cta_gt_410201","True","","","",""
"journal_fact_prov","Facturas de proveedores","purchase","CO","cta_gt_510101","True","","","",""
"journal_fesp","Factura Especial","purchase","FE","cta_gt_510101","True","","","",""
"journal_tcredomatic","TC Credomatic","bank","CREDO","","False","account.account_payment_method_manual_in","cta_gt_1101020101","account.account_payment_method_manual_out","cta_gt_1101020102"
"","","","","","","","","account_check_printing.account_payment_method_check","cta_gt_1101020102"
"journal_tneonet","TC Neonet","bank","NEO","","False","account.account_payment_method_manual_in","cta_gt_1101020101","account.account_payment_method_manual_out","cta_gt_1101020102"
"","","","","","","","","account_check_printing.account_payment_method_check","cta_gt_1101020102"
"journal_varios","Varios","general","VAR","","False","","","",""
"journal_banco1","Banco 1","bank","BK01","cta_gt_11010201","False","account.account_payment_method_manual_in","cta_gt_1101020101","account.account_payment_method_manual_out","cta_gt_1101020102"
"","","","","","","","","account_check_printing.account_payment_method_check","cta_gt_1101020102"
"journal_banco2","Banco 2","bank","BK02","cta_gt_11010202","False","account.account_payment_method_manual_in","cta_gt_1101020101","account.account_payment_method_manual_out","cta_gt_1101020102"
"","","","","","","","","account_check_printing.account_payment_method_check","cta_gt_1101020102"
"journal_inventario","Inventario","general","STOCK","","False","","","",""
"journal_activos","Activos","general","ACT","","False","","","",""
